Date,Open,High,Low,Close,Volume,Adj Close
2010-03-22,127.11,130.73,126.57,129.26,6290700,120.86
2010-03-15,127.40,128.93,126.78,127.71,6535800,119.41
2010-03-08,127.06,128.37,125.20,127.94,6747200,119.63
2010-03-01,127.50,129.09,125.47,127.25,5830700,118.98
2010-02-22,127.30,128.27,125.57,127.16,4724900,118.90
2010-02-16,124.91,128.06,124.11,127.19,6108400,118.93
2010-02-08,123.15,124.20,121.61,124.00,6017700,115.94
2010-02-01,123.23,126.07,121.83,123.52,7012700,114.98
2010-01-25,126.33,127.75,121.90,122.39,8557200,113.93
2010-01-19,131.63,134.25,125.37,125.50,12202700,116.82
2010-01-11,131.06,132.89,128.67,131.78,7174700,122.67
2010-01-04,131.18,132.97,128.91,130.85,5727900,121.80
2009-12-28,130.99,132.85,130.68,130.90,4518700,121.85
2009-12-21,127.80,130.57,127.68,130.57,4675100,121.54
2009-12-14,129.65,129.98,127.00,127.91,6890500,119.07
2009-12-07,126.88,129.77,126.11,129.68,5848500,120.72
2009-11-30,125.12,128.90,124.92,127.25,6061500,118.45
2009-11-23,127.70,128.94,124.26,125.70,4776700,117.01
2009-11-16,127.17,128.65,126.46,126.96,4696500,118.18
2009-11-09,123.92,127.80,123.49,127.03,6213000,118.25
2009-11-02,120.77,123.50,119.50,123.49,6158100,114.95
2009-10-26,120.61,123.25,119.15,120.61,7757000,111.77
2009-10-19,121.76,124.11,120.00,120.36,7258400,111.54
2009-10-12,125.44,128.61,121.25,121.64,11195700,112.73
2009-10-05,118.90,126.00,118.13,125.93,7565100,116.70
2009-09-28,120.52,122.00,117.26,119.02,7476000,110.30
2009-09-21,121.03,122.74,120.10,121.08,5246500,112.21
2009-09-14,117.00,122.88,116.94,122.11,8171900,113.16
2009-09-08,117.94,119.25,116.16,118.05,5457100,109.40
2009-08-31,117.10,118.93,115.15,117.46,5061900,108.85
2009-08-24,119.92,120.88,117.51,118.22,5224700,109.56
2009-08-17,116.69,120.01,116.12,119.90,5524400,111.11
2009-08-10,118.17,119.96,117.32,118.57,5080200,109.88
2009-08-03,118.88,119.96,116.70,119.33,5578700,110.58
2009-07-27,116.95,119.37,116.05,117.93,5617100,108.78
2009-07-20,114.53,118.15,114.39,117.64,8504000,108.51
2009-07-13,101.28,115.53,100.19,115.42,11758700,106.46
2009-07-06,101.57,102.78,99.50,100.83,6841600,93.01
2009-06-29,105.99,106.27,101.73,101.73,6189600,93.84
2009-06-22,105.18,106.79,103.51,105.68,6174300,97.48
2009-06-15,107.63,109.14,105.50,105.89,8586100,97.67
2009-06-08,106.64,110.64,105.50,108.21,7782600,99.81
2009-06-01,106.94,108.80,105.11,107.24,7118400,98.92
2009-05-26,101.32,106.50,101.02,106.28,6832500,98.03
2009-05-18,102.00,106.12,101.74,101.89,6919900,93.98
2009-05-11,101.09,104.38,100.57,101.37,8445800,93.50
2009-05-04,105.26,106.82,99.83,101.49,8538300,93.62
2009-04-27,99.61,106.05,99.25,104.61,9278800,95.99
2009-04-20,100.29,103.86,98.20,100.08,11893800,91.83
2009-04-13,100.28,102.04,96.44,101.27,8342300,92.93
2009-04-06,100.90,102.45,98.52,101.70,8221700,93.32
2009-03-30,92.00,102.66,91.80,102.22,12982500,93.80
2009-03-23,93.70,99.86,92.75,94.15,12190100,86.39
2009-03-16,91.65,95.00,89.41,92.51,12666100,84.89
2009-03-09,84.70,90.65,83.02,90.36,12366300,82.92
2009-03-02,91.17,91.90,83.81,85.81,14896700,78.74
2009-02-23,89.30,93.28,82.85,92.03,15561100,84.45
2009-02-17,91.73,92.49,87.34,88.79,10604800,81.48
2009-02-09,95.93,96.98,92.20,93.84,9826500,86.11
2009-02-02,90.60,97.10,89.69,96.14,10731900,88.22
2009-01-26,89.77,94.94,89.52,91.65,10163800,83.64
2009-01-20,84.76,91.60,81.76,89.49,15327300,81.67
2009-01-12,84.57,86.60,82.11,84.92,9636000,77.50
2009-01-05,86.42,90.41,84.25,84.70,8218400,77.30
2008-12-29,81.72,87.59,79.68,87.37,6515700,79.74
2008-12-22,83.27,83.45,79.92,81.33,4743500,74.23
2008-12-15,82.51,87.27,80.00,83.52,10025600,76.22
2008-12-08,82.57,85.88,78.06,82.20,9957000,75.02
2008-12-01,80.95,81.50,75.31,80.59,10290800,73.55
2008-11-24,75.74,82.40,75.00,81.60,9922900,74.47
2008-11-17,79.40,81.00,69.50,74.88,14682300,68.34
2008-11-10,87.99,88.10,75.40,80.33,11638800,73.31
2008-11-03,92.64,94.76,84.25,86.27,9403000,78.73
2008-10-27,80.27,94.19,79.01,92.97,12107400,84.38
2008-10-20,92.21,93.31,78.82,82.07,11661300,74.48
2008-10-13,90.44,99.00,84.35,90.78,15009700,82.39
2008-10-06,101.21,103.00,83.51,87.75,17369700,79.64
2008-09-29,117.44,118.43,103.03,103.44,12561800,93.88
2008-09-22,118.45,121.99,114.14,119.42,6946100,108.38
2008-09-15,115.36,124.00,110.61,118.85,13261400,107.87
2008-09-08,118.00,119.95,115.00,118.97,9356700,107.97
2008-09-02,122.87,124.00,113.17,114.33,10502900,103.76
2008-08-25,124.48,125.45,121.50,121.73,6098700,110.48
2008-08-18,126.49,127.00,121.55,124.93,6891400,113.38
2008-08-11,128.43,128.43,124.40,126.36,6544800,114.68
2008-08-04,126.77,129.97,126.25,128.81,6882700,116.90
2008-07-28,127.69,129.50,126.13,126.64,5739800,114.49
2008-07-21,129.83,130.93,127.26,128.53,9190000,116.20
2008-07-14,123.51,130.00,119.90,129.89,11908500,117.43
2008-07-07,119.62,124.50,119.62,122.12,9469200,110.40
2008-06-30,120.03,120.78,116.60,119.54,8179200,108.07
2008-06-23,123.00,125.83,118.26,120.05,8381500,108.53
